objectid,filename,youtubeid,title,date,date is approximate?,description,subject,location,degree-latitude,degree-longitude,format,latitude,longitude
BallCreek-SmallClearing-Bullmooseatnight,BallCreek-SmallClearing-Bullmooseatnight.jpg,,Bullmooseatnight,,,,,Ball Creek;Stream Crossing,,,image/jpg,48.766313,-116.585614
BallCreek-SmallClearing-Bullmoosebuttnight,BallCreek-SmallClearing-Bullmoosebuttnight.jpg,,Bullmoosebuttnight,,,,,Ball Creek;Stream Crossing,,,image/jpg,48.766313,-116.585614
BallCreek-SmallClearing-Bullmoosequarteringaway,BallCreek-SmallClearing-Bullmoosequarteringaway.jpg,,Bullmoosequarteringaway,,,,,Ball Creek;Stream Crossing,,,image/jpg,48.766313,-116.585614
BallCreek-SmallClearing-Bullmoosequarteringinrightthirdofscreen,BallCreek-SmallClearing-Bullmoosequarteringinrightthirdofscreen.jpg,,Bullmoosequarteringinrightthirdofscreen,,,,,Ball Creek;Stream Crossing,,,image/jpg,48.766313,-116.585614
BallCreek-SmallClearing-Bullmooseshoulderprofile,BallCreek-SmallClearing-Bullmooseshoulderprofile.jpg,,Bullmooseshoulderprofile,,,,,Ball Creek;Stream Crossing,,,image/jpg,48.766313,-116.585614
BallCreek-SmallClearing-Cowmooseapproach,BallCreek-SmallClearing-Cowmooseapproach.jpg,,Cowmooseapproach,,,,,Ball Creek;Stream Crossing,,,image/jpg,48.766313,-116.585614
BallCreek-SmallClearing-Cowmooselookingatcam,BallCreek-SmallClearing-Cowmooselookingatcam.jpg,,Cowmooselookingatcam,,,,,Ball Creek;Stream Crossing,,,image/jpg,48.766313,-116.585614
BallCreek-SmallClearing-Cowmooselooksatcam,BallCreek-SmallClearing-Cowmooselooksatcam.jpg,,Cowmooselooksatcam,,,,,Ball Creek;Stream Crossing,,,image/jpg,48.766313,-116.585614
BallCreek-SmallClearing-Cowmooserightblurry,BallCreek-SmallClearing-Cowmooserightblurry.jpg,,Cowmooserightblurry,,,,,Ball Creek;Stream Crossing,,,image/jpg,48.766313,-116.585614
BallCreek-SmallClearing-Deckerselfie,BallCreek-SmallClearing-Deckerselfie.jpg,,Deckerselfie,,,,,Ball Creek;Stream Crossing,,,image/jpg,48.766313,-116.585614
BallCreek-SmallClearing-Moosewalksawaywithraindropsoncam,BallCreek-SmallClearing-Moosewalksawaywithraindropsoncam.jpg,,Moosewalksawaywithraindropsoncam,,,,,Ball Creek;Stream Crossing,,,image/jpg,48.766313,-116.585614
BallCreek-SmallClearing-Smallbullleft,BallCreek-SmallClearing-Smallbullleft.jpg,,Smallbullleft,,,,,Ball Creek;Stream Crossing,,,image/jpg,48.766313,-116.585614
BallCreek-SmallClearing-Whitetaildoe,BallCreek-SmallClearing-Whitetaildoe.jpg,,Whitetaildoe,,,,,Ball Creek;Stream Crossing,,,image/jpg,48.766313,-116.585614
BallCreek-StreamCrossing-Boysdepart,BallCreek-StreamCrossing-Boysdepart.jpg,,Boysdepart,,,,,Ball Creek;Stream Crossing,,,image/jpg,48.766313,-116.585614
BallCreek-StreamCrossing-Elkbrowse,BallCreek-StreamCrossing-Elkbrowse.jpg,,Elkbrowse,,,,,Ball Creek;Stream Crossing,,,image/jpg,48.766313,-116.585614
BallCreek-StreamCrossing-Elkbrowse2,BallCreek-StreamCrossing-Elkbrowse2.0.jpg,,Elkbrowse2.0,,,,,Ball Creek;Stream Crossing,,,image/jpg,48.766313,-116.585614
