objectid,mapobjectid,filename,youtubeid,,title,date,date is approximate?,description,subject,location,degree-latitude,degree-longitude,format,latitude,longitude,type,language,rights,rightsstatement,object_template,object_download,image_small,image_thumb
Black-bear-gaze,Black-bear-gaze,https://cdil.lib.uidaho.edu/storying-extinction/objects/Black-bear-gaze.jpg,,,Black bear gaze,2020-07-06,,Black bear gazes at game camera,Black bear; game camera,Ball creek drainage,"48Â°46'07.4""N","-116Â°37'26.6""W",image/jpg,48.768722,-116.624056,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/Black-bear-gaze.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Black-bear-gaze.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Black-bear-gaze.jpg
Coyote-SP,Coyote-SP,https://cdil.lib.uidaho.edu/storying-extinction/objects/Coyote-SP.jpg,,,Coyote SP,2020-06-22,,Coyote passes game camera on trail,Coyote; game camera,Little Snowy Top,"48Â°57'11.9""N","-117Â°01'30.0""W",image/jpg,48.953306,-117.025,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/Coyote-SP.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Coyote-SP.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Coyote-SP.jpg
Hoary-Marmot-Wrestle,Hoary-Marmot-Wrestle,https://cdil.lib.uidaho.edu/storying-extinction/objects/Hoary-Marmot-Wrestle.jpg,,,Hoary Marmot Wrestle,2020-06-05,,Two hoary marmots wrestle near the ridgeline,Hoary marmot 1; hoary marmot 2; game camera,Little Snowy Top,"48Â°57'11.9""N","-117Â°01'30.0""W",image/jpg,48.953306,-117.025,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/Hoary-Marmot-Wrestle.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Hoary-Marmot-Wrestle.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Hoary-Marmot-Wrestle.jpg
Mule-Deer-Buck-SP,Mule-Deer-Buck-SP,https://cdil.lib.uidaho.edu/storying-extinction/objects/Mule-Deer-Buck-SP.jpg,,,Mule Deer Buck SP,2020-06-27,,Mule deer buck at game camera,Mule deer; game camera,Little Snowy Top,"48Â°57'11.9""N","-117Â°01'30.0""W",image/jpg,48.953306,-117.025,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/Mule-Deer-Buck-SP.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Mule-Deer-Buck-SP.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Mule-Deer-Buck-SP.jpg
Cedar-Hemlock,Cedar-Hemlock,https://cdil.lib.uidaho.edu/storying-extinction/objects/Cedar-Hemlock.jpg,,,Cedar Hemlock,2020-07-20,,Cedar Hemlock forest,Cedar Hemlock trees; game camera,Ball creek drainage,"48Â°46'07.4""N","-116Â°37'26.6""W",image/jpg,48.768722,-116.624056,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/Cedar-Hemlock.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Cedar-Hemlock.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Cedar-Hemlock.jpg
Englemann-Spruce-subalpine-fir,Englemann-Spruce-subalpine-fir,https://cdil.lib.uidaho.edu/storying-extinction/objects/Engelmann-subalpine.jpg,,,Englemann Spruce/subalpine fir,2020-05-30,,Englemann spruce forest in snow/rain/fog,Englemann and subalpine trees; game camera,Little Snowy Top,"48Â°57'11.9""N","-117Â°01'30.0""W",image/jpg,48.953306,-117.025,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/Engelmann-subalpine.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Engelmann-subalpine.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Engelmann-subalpine.jpg
twisted-stalk,twisted-stalk,https://cdil.lib.uidaho.edu/storying-extinction/objects/twisted-stalk.jpg,,,twisted stalk,2020-07-30,,Twisted stalk in drainage off of Little Snowy Top,Twisted Stalk; game camera,Little Snowy Top,"48Â°57'11.9""N","-117Â°01'30.0""W",image/jpg,48.953306,-117.025,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/twisted-stalk.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/twisted-stalk.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/twisted-stalk.jpg
Spruce-grouse-takes-off,Spruce-grouse-takes-off,Spruce-Grouse.m4v,sfmpHXFteH8,,Spruce grouse takes off,2020-05-30,,Spruce grouse takes off of dead fall near little snowy top,Spruce grouse; game camera,Little Snowy Top,"48Â°57'11.9""N","-117Â°01'30.0""W",video/mv4,48.953306,-117.025,Image;StillImage,eng,,,image,,,
caribou-mural-in-sandpoint,caribou-mural-in-sandpoint,https://cdil.lib.uidaho.edu/storying-extinction/objects/Sandpoint-caribou-mural.jpg,,,caribou mural in sandpoint,2020-06-23,,"Caribout mural in Sandpoint, ID",Mural,"Sandpoint, ID","48Â°16'41.4""N","-116Â°33'20.6""W",image/jpg,48.278167,-116.555722,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/Sandpoint-caribou-mural.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Sandpoint-caribou-mural.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/Sandpoint-caribou-mural.jpg
BallCreek-CedarRub-Blackbearpassingthrough,BallCreek-CedarRub-Blackbearpassingthrough,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-CedarRub-Blackbearpassingthrough.jpg,,,Blackbearpassingthrough,,,,,Ball Creek;Cedar Rub,,,image/jpg,48.770613,-116.619259,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-CedarRub-Blackbearpassingthrough.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/BallCreek-CedarRub-Blackbearpassingthrough_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/BallCreek-CedarRub-Blackbearpassingthrough_th.jpg
BallCreek-SmallClearing-Blackbeargaze,BallCreek-SmallClearing-Blackbeargaze,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-SmallClearing-Blackbeargaze.jpg,,,Blackbeargaze,,,,,Ball Creek;Stream Crossing,,,image/jpg,48.766313,-116.585614,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/BallCreek-SmallClearing-Blackbeargaze.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/BallCreek-SmallClearing-Blackbeargaze_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/BallCreek-SmallClearing-Blackbeargaze_th.jpg
SalmoPriest-CriticalHabitat-CriticalHabitatridgelinesouth-IMAG0003,SalmoPriest-CriticalHabitat-CriticalHabitatridgelinesouth-IMAG0003,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-CriticalHabitatridgelinesouth-IMAG0003.jpg,,,SalmoPriest-CriticalHabitat-CriticalHabitatridgelinesouth-IMAG0003,,,,,Salmo-Priest Critical Habitat;CriticalHabitat Ridgeline South,,,image/jpg,48.937107,-117.010435,Image;StillImage,eng,,,image,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/SalmoPriest-CriticalHabitat-CriticalHabitatridgelinesouth-IMAG0003.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/small/SalmoPriest-CriticalHabitat-CriticalHabitatridgelinesouth-IMAG0003_sm.jpg,https://cdil.lib.uidaho.edu/storying-extinction/objects/trailcams/thumbs/SalmoPriest-CriticalHabitat-CriticalHabitatridgelinesouth-IMAG0003_th.jpg
